date,unconditional_average_rain,conditional_average_rain,accumlated_rain,satellite_flag
2006-01-01 00:00,0.0038,0.38472297456529403,13.8500,11000000000000000000000010000001
2006-01-01 01:00,0.0045,0.4165808848845653,16.2467,01000000000000000000000000001100
2006-01-01 02:00,0.0042,0.47357892990112305,15.1545,11000000000000000000000000000000
2006-01-01 03:00,0.0042,0.5238463631991682,15.1915,11000000000000000000000000100000
2006-01-01 04:00,0.0022,0.38328997294108075,8.0491,11000000000000000000000000000000
2006-01-01 05:00,0.0063,1.5174664815266927,22.7620,01000000000000000000001000000000
2006-01-01 06:00,0.0147,3.3319168090820312,53.3107,11000000000000000000010000000000
2006-01-01 07:00,0.0155,3.3145291945513558,56.3470,11000000000000000000000000000010
2006-01-01 08:00,0.0160,4.148028237479074,58.0724,11000000000000000000010000000000
2006-01-01 09:00,0.0166,3.764066457748413,60.2251,01000000000000000000000100000000
2006-01-01 10:00,0.0172,3.919874429702759,62.7180,11000000000000000000000000000000
2006-01-01 11:00,0.0171,4.145122273763021,62.1768,01000000000000000000000010000000
2006-01-01 12:00,0.0173,5.727062225341797,62.9977,01000000000000000000000000001100
2006-01-01 13:00,0.0195,4.426855564117432,70.8297,11000000000000000000000000000000
2006-01-01 14:00,0.0215,4.875635623931885,78.0102,01000000000000000000000000100000
2006-01-01 15:00,0.0257,5.190932379828559,93.4368,11000000000000000000000000000000
2006-01-01 16:00,0.0275,5.552134619818793,99.9384,01000000000000000000001000000000
2006-01-01 17:00,0.0279,4.822790963309152,101.2786,11000000000000000000000000000001
2006-01-01 18:00,0.0277,6.296205043792725,100.7393,11000000000000000000000000000001
2006-01-01 19:00,0.0283,6.4356536865234375,102.9705,11000000000000000000000000000000
2006-01-01 20:00,0.0331,6.336100929661801,120.3859,11000000000000000000000000000011
2006-01-01 21:00,0.0357,6.836633782637747,129.8960,01000000000000000000000100000001
2006-01-01 22:00,0.0352,6.729462874563117,127.8598,11000000000000000000000000000001
2006-01-01 23:00,0.0359,7.260287814670139,130.6852,11000000000000000000000000000001
2006-01-02 00:00,0.0362,7.316006978352864,131.6881,01000000000000000000000010000000
2006-01-02 01:00,0.0374,8.50705337524414,136.1129,01000000000000000000000000001100
2006-01-02 02:00,0.0444,9.50398344152114,161.5677,01000000000000000000000000100000
2006-01-02 03:00,0.0433,8.28328504060444,157.3824,11000000000000000000000000000000
2006-01-02 04:00,0.0411,7.868682861328125,149.5050,11000000000000000000001000000000
2006-01-02 05:00,0.0391,7.487862034847862,142.2694,11000000000000000000001000000000
2006-01-02 06:00,0.0393,7.5223742033305925,142.9251,11000000000000000000000000000000
2006-01-02 07:00,0.0380,8.120429543887868,138.0473,11000000000000000000000000000010
2006-01-02 08:00,0.0399,8.537436092601103,145.1364,01000000000000000000010100000000
2006-01-02 09:00,0.0417,6.889407764781605,151.5670,11000000000000000000000100000000
2006-01-02 10:00,0.0402,6.64442929354581,146.1774,11000000000000000000000000000000
2006-01-02 11:00,0.0395,7.566356458162007,143.7608,01000000000000000000000010000000
2006-01-02 12:00,0.0387,11.725621541341146,140.7075,01000000000000000000000000001100
2006-01-02 13:00,0.0322,6.889549704159007,117.1223,11000000000000000000000000000000
2006-01-02 14:00,0.0288,6.1639722936293655,104.7875,01000000000000000000000000100000
2006-01-02 15:00,0.0275,4.351257987644361,100.0789,11000000000000000000000000000000
2006-01-02 16:00,0.0222,2.992579142252604,80.7996,01000000000000000000001000000000
2006-01-02 17:00,0.0182,3.0143311240456323,66.3153,01000000000000000000000000000001
2006-01-02 18:00,0.0167,1.4427456628708613,60.5953,11000000000000000000000000000000
2006-01-02 19:00,0.0211,1.3246302111395474,76.8286,11000000000000000000000000000011
2006-01-02 20:00,0.0299,1.6483925328110203,108.7939,01000000000000000000010000000010
2006-01-02 21:00,0.0276,1.5952814495752727,100.5027,01000000000000000000000100000001
2006-01-02 22:00,0.0375,1.770881157416802,136.3578,01000000000000000000000000000001
2006-01-02 23:00,0.0266,0.8964103416160301,96.8123,11000000000000000000000010000000
2006-01-03 00:00,0.0222,0.7461280822753906,80.5818,11000000000000000000000000000100
2006-01-03 01:00,0.0275,1.1236203654428547,100.0022,01000000000000000000000010001000
2006-01-03 02:00,0.0316,1.7139382433535448,114.8339,01000000000000000000000000100000
2006-01-03 03:00,0.0298,1.6689049353966345,108.4788,11000000000000000000000000000000
2006-01-03 04:00,0.0259,1.5180379806026336,94.1184,11000000000000000000001000000000
2006-01-03 05:00,0.0137,0.8470460277492717,49.9757,11000000000000000000000000000000
2006-01-03 06:00,0.0083,0.5557710153085215,30.0116,11000000000000000000000000000010
2006-01-03 07:00,0.0097,0.929128044529965,35.3069,11000000000000000000000000000010
2006-01-03 08:00,0.0119,1.1720315056878168,43.3652,01000000000000000000010100000000
2006-01-03 09:00,0.0076,0.7489270390690984,27.7103,11000000000000000000000000000000
2006-01-03 10:00,0.0113,1.2063466240377987,41.0158,11000000000000000000000000000000
2006-01-03 11:00,0.0143,2.006673666147085,52.1735,11000000000000000000000010000000
2006-01-03 12:00,0.0209,2.817066333912037,76.0608,01000000000000000000000010001100
2006-01-03 13:00,0.0248,2.502333747016059,90.0840,11000000000000000000000000000000
2006-01-03 14:00,0.0262,3.1740097045898437,95.2203,01000000000000000000000000100000
2006-01-03 15:00,0.0229,2.5184520374644888,83.1089,11000000000000000000001000000000
2006-01-03 16:00,0.0181,2.5260335482083836,65.6769,11000000000000000000000000000001
2006-01-03 17:00,0.0148,1.9979539094147858,53.9448,11000000000000000000001000000000
2006-01-03 18:00,0.0138,1.6703158060709635,50.1095,11000000000000000000000000000001
2006-01-03 19:00,0.0112,1.16601802280971,40.8106,11000000000000000000000000000000
