stage height [m],standard error [m3/s]
0.834,0.164974002
0.837,0.161950307
0.84,0.15904238
0.843,0.156253391
0.846,0.153586488
0.849,0.151044712
0.852,0.148630982
0.855,0.146348059
0.858,0.144198504
0.861,0.142184656
0.864,0.140308562
0.867,0.138571983
0.87,0.136976299
0.873,0.135522536
0.876,0.134211282
0.879,0.133042696
0.882,0.132016462
0.885,0.13113178
0.888,0.130387364
0.891,0.129781436
0.894,0.129311729
0.897,0.128975506
0.9,0.128769584
0.903,0.128690351
0.906,0.128733814
0.909,0.128895639
0.912,0.129171165
0.915,0.129555491
0.918,0.130043499
0.921,0.130629901
0.924,0.131309275
0.927,0.132076149
0.93,0.132924993
0.933,0.133850279
0.936,0.134846525
0.939,0.135908298
0.942,0.137030269
0.945,0.138207223
0.948,0.139434076
0.951,0.140705882
0.954,0.142017876
0.957,0.143365441
0.96,0.144744141
0.963,0.146149735
0.966,0.147578116
0.969,0.149025435
0.972,0.150487942
0.975,0.151962106
0.978,0.153444575
0.981,0.154932133
0.984,0.156421762
0.987,0.157910574
0.99,0.159395855
0.993,0.160875017
0.996,0.162345641
0.999,0.163805416
1.002,0.165252199
1.005,0.166683895
1.008,0.168098629
1.011,0.169494545
1.014,0.170869984
1.017,0.172223305
1.02,0.173553026
1.023,0.174857754
1.026,0.176136151
1.029,0.177387007
1.032,0.178609201
1.035,0.17980162
1.038,0.18096333
1.041,0.182093414
1.044,0.183191042
1.047,0.184255465
1.05,0.185285977
1.053,0.186281974
1.056,0.187242908
1.059,0.188168263
1.062,0.189057642
1.065,0.189910692
1.068,0.190727102
1.071,0.191506684
1.074,0.192249211
1.077,0.192954635
1.08,0.193622901
1.083,0.194254021
1.086,0.194848099
1.089,0.195405289
1.092,0.195925821
1.095,0.196409975
1.098,0.196858126
1.101,0.197270674
1.104,0.197648179
1.107,0.197991187
1.11,0.198300337
1.113,0.198576401
1.116,0.198820172
1.119,0.199032535
1.122,0.199214502
1.125,0.199367153
1.128,0.199491613
1.131,0.199589199
1.134,0.199661236
1.137,0.199709174
1.14,0.199734611
1.143,0.199739212
1.146,0.199724775
1.149,0.199693181
1.152,0.199646491
1.155,0.199586808
1.158,0.199516451
1.161,0.199437784
1.164,0.199353366
1.167,0.199265892
1.17,0.199178119
1.173,0.199093047
1.176,0.199013785
1.179,0.19894353
1.182,0.198885706
1.185,0.198843857
1.188,0.198821669
1.191,0.198822942
1.194,0.198851668
1.197,0.198911966
1.2,0.199008089
1.203,0.199144389
1.206,0.199325397
1.209,0.199555736
1.212,0.199840105
1.215,0.200183319
1.218,0.200590319
1.221,0.201066066
1.224,0.201615589
1.227,0.202243962
1.23,0.202956255
1.233,0.203757587
1.236,0.204653
1.239,0.205647567
1.242,0.206746247
1.245,0.207953942
1.248,0.209275456
1.251,0.210715474
1.254,0.212278524
1.257,0.213969009
1.26,0.215791117
1.263,0.217748872
1.266,0.219846071
1.269,0.222086303
1.272,0.224472934
1.275,0.22700907
1.278,0.229697597
1.281,0.232541139
1.284,0.235542078
1.287,0.238702546
1.29,0.242024429
1.293,0.245509379
1.296,0.249158814
1.299,0.252973944
1.302,0.256955732
1.305,0.261104971
1.308,0.265422251
1.311,0.269907976
1.314,0.274562404
1.317,0.279385623
1.32,0.284377621
1.323,0.289538202
1.326,0.294867127
1.329,0.300363974
1.332,0.306028328
1.335,0.311859652
1.338,0.31785731
1.341,0.324020692
1.344,0.330349086
1.347,0.336841771
1.35,0.343497995
1.353,0.350316971
1.356,0.357297883
1.359,0.364440004
1.362,0.3717425
1.365,0.379204581
1.368,0.386825433
1.371,0.394604313
1.374,0.402540509
1.377,0.410633162
1.38,0.41888169
1.383,0.427285272
1.386,0.435843359
1.389,0.444555126
1.392,0.453420127
1.395,0.462437651
1.398,0.471607178
