lon lat z
62.25 17.75 -32.47041702270508
62.25 18.25 -82.17630004882812
62.25 18.75 -85
62.25 19.25 -85
62.25 19.75 -101.8859252929688
62.25 20.25 -106
62.25 20.75 -59.15555572509766
62.25 21.25 -6.300205707550049
62.25 21.75 49.0977783203125
62.25 22.25 163.0888824462891
62.25 22.75 142.0770416259766
62.25 23.25 143.3644409179688
62.25 23.75 131.8592529296875
62.25 24.25 175
62.25 24.75 131.5599975585938
62.25 25.25 140.8666687011719
62.25 25.75 92.19999694824219
62.25 26.25 93.82221984863281
62.25 26.75 149.1333312988281
62.25 27.25 123
62.25 27.75 99.86666870117188
62.25 28.25 76.86666870117188
62.25 28.75 75.22222137451172
62.25 29.25 83.94666290283203
62.25 29.75 82.07703399658203
62.25 30.25 88.9674072265625
62.25 30.75 103
62.25 31.25 168.0888824462891
62.25 31.75 169.1333312988281
62.25 32.25 150
62.25 32.75 160
62.25 33.25 143
62.25 33.75 71
62.25 34.25 70
62.25 34.75 33
62.25 35.25 60
62.25 35.75 33
62.25 36.25 139
62.25 36.75 136
62.25 37.25 112.7555541992188
62.25 37.75 101
62.25 38.25 98.65333557128906
62.25 38.75 184
62.25 39.25 140
62.75 16.25 282.6049499511719
62.75 16.75 199.9165496826172
62.75 17.25 309.2222290039062
62.75 17.75 208.6809844970703
62.75 18.25 -53.05040740966797
62.75 18.75 -115.7476806640625
62.75 19.25 -170.1870880126953
62.75 19.75 -91.59313201904297
62.75 20.25 -59.66776657104492
62.75 20.75 -13.38702201843262
62.75 21.25 15.68888854980469
62.75 21.75 41
62.75 22.25 141.3111114501953
62.75 22.75 76
62.75 23.25 114
62.75 23.75 150.6222229003906
62.75 24.25 185
62.75 24.75 194.3111114501953
62.75 25.25 179.022216796875
62.75 25.75 114.6222229003906
62.75 26.25 124.325927734375
62.75 26.75 98
62.75 27.25 120
62.75 27.75 82
62.75 28.25 113.4083938598633
62.75 28.75 120
62.75 29.25 79
62.75 29.75 87
62.75 30.25 163.5145721435547
62.75 30.75 165.5807342529297
62.75 31.25 161.3111114501953
62.75 31.75 166
62.75 32.25 203.6325988769531
62.75 32.75 200
62.75 33.25 170
62.75 33.75 169.6888885498047
62.75 34.25 99.31111145019531
62.75 34.75 33
62.75 35.25 68.15555572509766
62.75 35.75 128.7787628173828
62.75 36.25 149.6987609863281
62.75 36.75 169
62.75 37.25 188
62.75 37.75 194.5111083984375
62.75 38.25 152.6888885498047
62.75 38.75 165.9111175537109
62.75 39.25 169.3111114501953
63.25 16.25 374.130859375
63.25 16.75 151.0227203369141
63.25 17.25 199.1985168457031
63.25 17.75 310.7367858886719
63.25 18.25 92.70568084716797
63.25 18.75 37.86666488647461
63.25 19.25 -30.71440887451172
63.25 19.75 -119.178596496582
63.25 20.25 -67.04997253417969
63.25 20.75 -11.810622215271
63.25 21.25 -0.00272430619224906
63.25 21.75 0
63.25 22.25 1
63.25 22.75 36
63.25 23.25 70
63.25 23.75 90
63.25 24.25 159.30419921875
63.25 24.75 188.4088897705078
63.25 25.25 150
63.25 25.75 141.022216796875
63.25 26.25 112.6444473266602
63.25 26.75 118.7501220703125
63.25 27.25 112.1298751831055
63.25 27.75 140
63.25 28.25 97.55555725097656
63.25 28.75 190.6024627685547
63.25 29.25 99
